ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,5/20/2016,5/23/2016,3,1
Dollar Lake,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,8/26/2016,8/29/2016,3,1
Blomidon,ON ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,7/7/2016,7/10/2016,3,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,5/20/2016,5/23/2016,3,1
Laurie,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/26/2016,8/28/2016,2,1
Dollar Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/12/2016,7/13/2016,1,1
Laurie,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,8/26/2016,8/27/2016,1,1
Porters Lake,NS ,CANADA ,4,,4,Full,CampsitePermit,Single Tent,7/15/2016,7/17/2016,2,1
Porters Lake,NS ,CANADA ,2,,2,Veteran,CampsitePermit,Less than 30ft,7/22/2016,7/24/2016,2,1
Porters Lake,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 40ft,5/27/2016,5/29/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,7/1/2016,7/3/2016,2,1
Caribou Munroes,ON ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,8/28/2016,8/29/2016,1,1
Whycocomagh,MB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/12/2016,8/13/2016,1,1
Boylston,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,7/30/2016,7/31/2016,1,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/15/2016,7/17/2016,2,1
Thomas Raddall,NS ,CANADA ,4,1,5,Full,CampsitePermit,Less than 20ft,6/18/2016,6/19/2016,1,1
Five Islands,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/8/2016,8/9/2016,1,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/30/2016,7/31/2016,1,1
Smileys,NS ,CANADA ,1,1,2,Full,CampsitePermit,Less than 20ft,8/5/2016,8/7/2016,2,1
Blomidon,NL ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,8/29/2016,8/30/2016,1,1
Caribou Munroes,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,7/22/2016,7/24/2016,2,1
The Islands,ON ,CANADA ,2,3,5,Full,CampsitePermit,Less than 20ft,8/10/2016,8/11/2016,1,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,9/16/2016,9/18/2016,2,1
Graves Island,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 40ft,6/24/2016,6/26/2016,2,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,9/16/2016,9/19/2016,3,1
Laurie,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/24/2016,6/26/2016,2,1
Porters Lake,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/9/2016,8/12/2016,3,1
The Islands,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,9/17/2016,9/21/2016,4,1
Mira River,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/2/2016,7/9/2016,7,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/11/2016,8/12/2016,1,1
Battery,NS ,CANADA ,2,4,6,Full,CampsitePermit,Less than 40ft,8/28/2016,8/30/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/16/2016,9/17/2016,1,1
Laurie,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/24/2016,7/28/2016,4,1
Amherst Shore,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/28/2016,7/31/2016,3,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/19/2016,7/22/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,6/22/2016,6/24/2016,2,1
Smileys,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/1/2016,7/2/2016,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,9/2/2016,9/5/2016,3,1
Ellenwood Lake,NS ,CANADA ,2,,2,Veteran,CampsitePermit,Less than 30ft,7/27/2016,7/30/2016,3,1
Ellenwood Lake,NS ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,7/22/2016,7/24/2016,2,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 40ft,8/21/2016,8/26/2016,5,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/28/2016,8/1/2016,4,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,5/20/2016,5/22/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 40ft,7/11/2016,7/18/2016,7,1
Smileys,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/5/2016,8/7/2016,2,1
Battery,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/3/2016,8/4/2016,1,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/3/2016,9/4/2016,1,1
Cape Chignecto,NS ,CANADA ,2,,2,Full,BackcountryPermit,Single Tent,7/30/2016,7/31/2016,1,1
Rissers Beach,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,9/8/2016,9/10/2016,2,1
Ellenwood Lake,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,7/8/2016,7/9/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,9/23/2016,9/25/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,6/11/2016,6/12/2016,1,1
Whycocomagh,ON ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/26/2016,8/27/2016,1,1
Smileys,NS ,CANADA ,3,3,6,Full,CampsitePermit,Tents,8/20/2016,8/22/2016,2,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/22/2016,6/24/2016,2,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/16/2016,7/17/2016,1,1
Graves Island,NS ,CANADA ,3,,3,Full,CampsitePermit,Tents,6/30/2016,7/1/2016,1,1
Dollar Lake,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,9/9/2016,9/11/2016,2,1
Salsman,NS ,CANADA ,4,,4,Senior,CampsitePermit,Less than 30ft,6/30/2016,7/3/2016,3,1
Rissers Beach,NS ,CANADA ,2,2,4,FULL,CampsitePermit,Less than 30ft,7/27/2016,7/28/2016,1,1
Thomas Raddall,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/10/2016,8/13/2016,3,1
Amherst Shore,BC ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,8/11/2016,8/12/2016,1,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/22/2016,7/23/2016,1,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/4/2016,9/5/2016,1,1
Mira River,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 40ft,6/17/2016,6/19/2016,2,1
Ellenwood Lake,NS ,CANADA ,3,2,5,Full,CampsitePermit,Single Tent,7/21/2016,7/23/2016,2,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/12/2016,7/14/2016,2,1
Caribou Munroes,NS ,CANADA ,2,3,5,Full,CampsitePermit,Tents,6/30/2016,7/3/2016,3,1
Thomas Raddall,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,8/4/2016,8/8/2016,4,1
Cape Chignecto,NS ,CANADA ,2,,2,Full,BackcountryPermit,Single Tent,5/21/2016,5/23/2016,2,1
Caribou Munroes,NS ,CANADA ,4,3,7,Full,CampsitePermit,Tents,7/20/2016,7/22/2016,2,1
Battery,NS ,CANADA ,2,,2,Host,CampsitePermit,Less than 20ft,8/22/2016,9/5/2016,14,1
Dollar Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Tents,9/4/2016,9/6/2016,2,1
Rissers Beach,NS ,CANADA ,4,2,6,Full,CampsitePermit,Less than 20ft,8/1/2016,8/3/2016,2,1
Whycocomagh,ON ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/20/2016,8/21/2016,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,9/3/2016,9/5/2016,2,1
Caribou Munroes,MB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/16/2016,9/17/2016,1,1
Five Islands,NB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/21/2016,8/22/2016,1,1
Mira River,NL ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/27/2016,7/28/2016,1,1
Mira River,NS ,CANADA ,3,1,4,Full,CampsitePermit,Tents,7/1/2016,7/2/2016,1,1
Mira River,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,7/22/2016,7/24/2016,2,1
Salsman,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,8/21/2016,8/22/2016,1,1
Cape Chignecto,SK ,CANADA ,1,,1,Full,BackcountryPermit,Single Tent,7/30/2016,8/1/2016,2,1
Amherst Shore,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,9/12/2016,9/18/2016,6,1
Valleyview,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/18/2016,7/20/2016,2,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/11/2016,9/13/2016,2,1
Caribou Munroes,BC ,CANADA ,3,,3,Senior,CampsitePermit,Less than 20ft,7/11/2016,7/12/2016,1,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Tents,8/1/2016,8/3/2016,2,1
Five Islands,NS ,CANADA ,2,2,4,Full,CampsitePermit,Tents,7/22/2016,7/23/2016,1,1
Porters Lake,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/18/2016,7/19/2016,1,1
Smileys,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,7/21/2016,7/24/2016,3,1
Thomas Raddall,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,8/24/2016,8/26/2016,2,1
Thomas Raddall,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 30ft,9/23/2016,9/26/2016,3,1
Thomas Raddall,NS ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,8/26/2016,8/28/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,10/7/2016,10/10/2016,3,1
Blomidon,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,7/29/2016,7/31/2016,2,1
The Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,9/3/2016,9/5/2016,2,1
Battery,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/14/2016,7/15/2016,1,1
Valleyview,BC ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,10/7/2016,10/8/2016,1,1
Caribou Munroes,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/25/2016,6/26/2016,1,1
Dollar Lake,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,9/9/2016,9/10/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,10/8/2016,10/10/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,9/21/2016,9/22/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/22/2016,7/24/2016,2,1
Smileys,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,7/16/2016,7/17/2016,1,1
Rissers Beach,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/13/2016,7/17/2016,4,1
Smileys,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,6/30/2016,7/3/2016,3,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,9/10/2016,9/11/2016,1,1
Five Islands,PE ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,8/3/2016,8/5/2016,2,1
Caribou Munroes,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/17/2016,7/18/2016,1,1
Thomas Raddall,NS ,CANADA ,2,3,5,Full,CampsitePermit,Tents,8/19/2016,8/21/2016,2,1
Amherst Shore,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/17/2016,8/18/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/27/2016,8/28/2016,1,1
Amherst Shore,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/29/2016,7/30/2016,1,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/21/2016,7/22/2016,1,1
Thomas Raddall,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/4/2016,8/7/2016,3,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/18/2016,8/20/2016,2,1
Battery,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,6/30/2016,7/1/2016,1,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/24/2016,6/26/2016,2,1
Boylston,NS ,CANADA ,1,,1,Senior,CampsitePermit,Single Tent,7/13/2016,7/14/2016,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/30/2016,9/1/2016,2,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/26/2016,8/27/2016,1,1
Rissers Beach,NS ,CANADA ,2,3,5,Full,CampsitePermit,Tents,6/20/2016,6/22/2016,2,1
Salsman,NS ,CANADA ,1,,1,Full,CampsitePermit,Less than 30ft,9/3/2016,9/5/2016,2,1
Mira River,NB ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,7/28/2016,7/31/2016,3,1
Mira River,QC ,CANADA ,2,2,4,Full,CampsitePermit,Tents,8/3/2016,8/5/2016,2,1
Amherst Shore,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 40ft,7/24/2016,7/27/2016,3,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/12/2016,9/13/2016,1,1
Caribou Munroes,NS ,CANADA ,1,1,2,Full,CampsitePermit,Less than 30ft,9/23/2016,9/25/2016,2,1
Blomidon,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,6/30/2016,7/3/2016,3,1
Caribou Munroes,PE ,CANADA ,2,3,5,Full,CampsitePermit,Tents,10/7/2016,10/8/2016,1,1
Five Islands,NS ,CANADA ,2,2,4,Full,CampsitePermit,Tents,9/3/2016,9/5/2016,2,1
Ellenwood Lake,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,7/19/2016,7/22/2016,3,1
Caribou Munroes,NS ,CANADA ,1,,1,Full,CampsitePermit,Less than 30ft,7/15/2016,7/17/2016,2,1
Battery,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,6/17/2016,6/19/2016,2,1
Dollar Lake,NS ,CANADA ,3,1,4,Full,CampsitePermit,Tents,8/8/2016,8/10/2016,2,1
Laurie,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,6/30/2016,7/3/2016,3,1
Salsman,NS ,CANADA ,3,,3,Full,CampsitePermit,Less than 30ft,7/29/2016,8/1/2016,3,1
Graves Island,NS ,CANADA ,2,2,4,Senior,CampsitePermit,Less than 30ft,7/30/2016,8/1/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/1/2016,8/3/2016,2,1
Porters Lake,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/19/2016,7/21/2016,2,1
Amherst Shore,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/22/2016,8/23/2016,1,1
Whycocomagh,BC ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,7/25/2016,7/26/2016,1,1
Laurie,NS ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,7/27/2016,7/28/2016,1,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/10/2016,9/12/2016,2,1
Porters Lake,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,5/28/2016,5/29/2016,1,1
Blomidon,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/29/2016,8/30/2016,1,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/6/2016,9/7/2016,1,1
Porters Lake,QC ,CANADA ,1,3,4,Full,CampsitePermit,Single Tent,7/21/2016,7/25/2016,4,1
Whycocomagh,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,10/2/2016,10/3/2016,1,1
Amherst Shore,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/2/2016,8/3/2016,1,1
Whycocomagh,NS ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,8/4/2016,8/5/2016,1,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/30/2016,7/31/2016,1,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/25/2016,8/26/2016,1,1
The Islands,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/2/2016,7/3/2016,1,1
Dollar Lake,NS ,CANADA ,2,4,6,Full,CampsitePermit,Less than 20ft,7/25/2016,7/26/2016,1,1
Graves Island,ON ,CANADA ,3,,3,Senior,CampsitePermit,Less than 40ft,8/1/2016,8/3/2016,2,1
Amherst Shore,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/11/2016,7/13/2016,2,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Tents,7/22/2016,7/24/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 40ft,8/3/2016,8/5/2016,2,1
Rissers Beach,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/12/2016,7/13/2016,1,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/26/2016,8/28/2016,2,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,8/5/2016,8/7/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,9/9/2016,9/11/2016,2,1
Graves Island,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,7/18/2016,7/19/2016,1,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,9/16/2016,9/18/2016,2,1
Dollar Lake,NS ,CANADA ,4,1,5,Full,CampsitePermit,Tents,9/16/2016,9/18/2016,2,1
Blomidon,NS ,CANADA ,2,2,4,Full,CampsitePermit,Tents,7/14/2016,7/16/2016,2,1
Valleyview,NS ,CANADA ,2,2,4,Senior,CampsitePermit,Single Tent,7/8/2016,7/10/2016,2,1
Graves Island,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,9/21/2016,9/24/2016,3,1
Five Islands,NS ,CANADA ,1,1,2,Full,CampsitePermit,Single Tent,8/23/2016,8/24/2016,1,1
The Islands,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,7/29/2016,7/31/2016,2,1
Valleyview,ON ,CANADA ,1,2,3,Full,CampsitePermit,Less than 20ft,7/24/2016,7/25/2016,1,1
Rissers Beach,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/28/2016,8/29/2016,1,1
Mira River,NS ,CANADA ,2,1,3,Full,CampsitePermit,Greater than 40ft,8/6/2016,8/9/2016,3,1
Mira River,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,7/15/2016,7/18/2016,3,1
Cape Chignecto,NS ,CANADA ,2,,2,Full,BackcountryPermit,Single Tent,9/3/2016,9/5/2016,2,1
Ellenwood Lake,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/16/2016,7/18/2016,2,1
Smileys,NS ,CANADA ,1,2,3,Full,CampsitePermit,Less than 40ft,6/10/2016,6/12/2016,2,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/3/2016,8/4/2016,1,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,9/9/2016,9/11/2016,2,1
Valleyview,NB ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,8/9/2016,8/10/2016,1,1
Graves Island,ON ,CANADA ,2,1,3,Full,CampsitePermit,Tents,7/24/2016,7/26/2016,2,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,8/30/2016,8/31/2016,1,1
Five Islands,NS ,CANADA ,4,2,6,Senior,CampsitePermit,Less than 20ft,7/3/2016,7/5/2016,2,1
Ellenwood Lake,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/26/2016,8/28/2016,2,1
Ellenwood Lake,NS ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,7/8/2016,7/10/2016,2,1
Valleyview,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/2/2016,8/5/2016,3,1
Mira River,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/3/2016,8/5/2016,2,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/3/2016,7/5/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/22/2016,7/23/2016,1,1
The Islands,NS ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,6/18/2016,6/20/2016,2,1
Battery,QC ,CANADA ,2,3,5,Full,CampsitePermit,Tents,8/3/2016,8/4/2016,1,1
Porters Lake,AB ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,8/9/2016,8/11/2016,2,1
The Islands,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/4/2016,9/5/2016,1,1
Smileys,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/1/2016,7/3/2016,2,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/2/2016,7/3/2016,1,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/3/2016,7/5/2016,2,1
Dollar Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,9/2/2016,9/5/2016,3,1
Graves Island,NS ,CANADA ,5,,5,Full,CampsitePermit,Tents,9/16/2016,9/18/2016,2,1
Graves Island,ON ,CANADA ,3,1,4,Full,CampsitePermit,Less than 20ft,8/21/2016,8/26/2016,5,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,7/22/2016,7/24/2016,2,1
Salsman,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,6/30/2016,7/3/2016,3,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/5/2016,7/7/2016,2,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/1/2016,7/3/2016,2,1
Blomidon,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,7/14/2016,7/18/2016,4,1
Caribou Munroes,NS ,CANADA ,3,,3,Full,CampsitePermit,Less than 30ft,9/8/2016,9/11/2016,3,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,5/21/2016,5/22/2016,1,1
Smileys,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,6/17/2016,6/19/2016,2,1
Five Islands,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/8/2016,8/9/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,8/17/2016,8/19/2016,2,1
Dollar Lake,NS ,CANADA ,1,3,4,Full,CampsitePermit,Single Tent,6/24/2016,6/25/2016,1,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/8/2016,7/10/2016,2,1
Boylston,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/1/2016,8/3/2016,2,1
Battery,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/18/2016,8/19/2016,1,1
Smileys,NS ,CANADA ,2,2,4,Veteran,CampsitePermit,Less than 30ft,7/8/2016,7/10/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/11/2016,7/13/2016,2,1
Blomidon,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/8/2016,7/10/2016,2,1
Whycocomagh,QC ,CANADA ,4,,4,Full,CampsitePermit,Less than 30ft,8/15/2016,8/16/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,10/1/2016,10/2/2016,1,1
Cape Chignecto,AB ,CANADA ,1,,1,Senior,BackcountryPermit,Single Tent,9/4/2016,9/5/2016,1,1
Caribou Munroes,QC ,CANADA ,2,1,3,Senior,CampsitePermit,Less than 30ft,8/6/2016,8/7/2016,1,1
Thomas Raddall,QC ,CANADA ,3,,3,Full,CampsitePermit,Tents,8/3/2016,8/4/2016,1,1
Ellenwood Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,8/5/2016,8/7/2016,2,1
Whycocomagh,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/11/2016,7/12/2016,1,1
Porters Lake,NS ,CANADA ,1,1,2,Full,CampsitePermit,Single Tent,6/24/2016,6/26/2016,2,1
Mira River,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 40ft,9/9/2016,9/11/2016,2,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,6/30/2016,7/3/2016,3,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/12/2016,8/14/2016,2,1
Blomidon,NB ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,6/28/2016,6/30/2016,2,1
Laurie,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,8/23/2016,8/25/2016,2,1
Cape Chignecto,NS ,CANADA ,2,,2,Full,BackcountryPermit,Single Tent,10/7/2016,10/10/2016,3,1
Caribou Munroes,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/5/2016,8/7/2016,2,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,6/2/2016,6/5/2016,3,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,7/29/2016,8/1/2016,3,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/7/2016,8/8/2016,1,1
Mira River,NB ,CANADA ,2,4,6,Full,CampsitePermit,Single Tent,7/24/2016,7/25/2016,1,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,8/26/2016,8/28/2016,2,1
Caribou Munroes,NS ,CANADA ,1,1,2,Full,CampsitePermit,Less than 20ft,9/16/2016,9/18/2016,2,1
Ellenwood Lake,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,9/2/2016,9/4/2016,2,1
